"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"15bd0951-a8cb-2c78-b3e2-d59f23da6128",283126.8358333333,150000.0,2,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,150000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,112.10086449413744,"Dish.fm"
"15be47e9-8998-6979-f7a7-2a2185faf4ed",4807636.2091666665,4697104.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,33.5,1896604.0,10.5,580000.0,3.0,25.0,1700000.0,3.0,0.0,0.0,0.0,50.6361176044577,116.3391445409557,"SOLOMO Technology"
"15bfc864-01fd-c8fe-eb36-7e75d7e62814",283126.8358333333,9000000.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,132.2737633216288,"Sightec"
"15cca00a-889e-43a8-f02b-e8df4d365653",3111083.194166667,2840000.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,107.27119653380971,"SimpleTherapy"
"15d43618-f16d-a304-8308-8c59cbbcf75e",283126.8358333333,15000.0,1,1.0,689127.0,3.0,689127.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,15000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,95.27916384320008,"Zingfin"
"15d66d39-ac0c-4463-94ff-44ced5971dc1",6504189.224166666,6500000.0,2,1.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.840783862776105,36.6660506375901,"Adriel"
"15daf4de-7cde-4696-878b-1eba212854df",1414530.1791666667,1500000.0,2,0.5,25000.0,7.0,3852500.0,4.5,0.0,0.0,1.0,0.0,0.0,21.11675093034465,1500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.407030945193945,36.27179202858376,"Moeco"
"15e0e806-1e96-e764-5516-9190bacc9d87",283126.8358333333,219310.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,83284.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.778311669644141,72.14932544816115,"Fliiby LTD"
"15e1bf30-3d6f-4373-8c62-821bea8f9e75",1414530.1791666667,1500000.0,2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,1500000.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,24.279759337974085,"NetGiver"
"15f03a91-cfb6-ce38-8913-07911e2bb88b",22904201.7025,22648138.0,2,0.0,1.0,2.0,22648140.0,6.0,0.0,1.0,6.0,0.0,0.0,2.5,510843.0,1.0,24.0,9279620.173465185,3.0029130253849354,0.0,0.0,0.0,50.6361176044577,66.26830119714984,"Loanboox"
