"uuid","name","investment_count","logo_url"
"1136a450-8a97-40f4-d9c8-e8ffeb529de3","Allen & Company LLC",151.0,""
"036859ec-45a0-136d-c7ae-205a6d541a69","Vulcan Capital",199.0,"https://res.cloudinary.com/crunchbase-production/image/upload/grkv185otl0oq64imw0s"
"2e67b206-3b27-5ca8-7db0-bc30c32149e8","Bay Partners",174.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1408013615/wcbj0vzhcklemttdmwsx.png"
"46ef43b2-49ba-8d1d-7687-b692b010c772","Armada Investment AG",14.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1457792227/oc3wkuav9ahe42kstqo0.png"
"6390d0cf-6297-3970-7615-9aa9a2275116","Leapfrog Ventures",48.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178581/2c511b1bee196ad7f08c60c2d210b150.png"
"84e45eb1-4a2a-19e5-8868-6def7d0fc049","SK Telecom",20.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1416233024/sbipdmlzfsglvlhbdkxu.png"
"5bac8053-1e17-adc6-05e2-d936c1fc8e5d","HarbourVest Partners",118.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178582/c20ec8418beedeb456b8c64573cdb77d.gif"
"0fb367a3-3d1e-7306-d199-993199f08ad5","Lehman Brothers",106.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178587/55a0b136d4811734acf3c9a7851e66ca.png"
"3f84af76-a812-49c0-a05f-e45db4b2ef53","Bezos Expeditions",73.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1490372829/jhedxnc73arrqnjufxdx.jpg"
"cc964bc0-a950-4d8f-4ef0-7c514e49d28a","Emergence",187.0,"https://res.cloudinary.com/crunchbase-production/image/upload/xeuj4qcnu0kfl6xs2dcs"
"c71a2ce5-aab4-8f6c-8d4d-091fd702af60","Idinvest Partners",386.0,"https://res.cloudinary.com/crunchbase-production/image/upload/tkrp3h3su9sabcwmfhuo"
"343ab2be-8fed-b952-0607-7fefb34a71b4","Integral Capital Partners",97.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178604/fe41c9a3c66a7410bbf7107b752ce471.jpg"
"62426ec0-be52-3f79-8adb-405de209755d","e.ventures",331.0,"https://res.cloudinary.com/crunchbase-production/image/upload/tlpjvs7evnazo5bjfjmc"
"e6dd819e-8392-61c0-df6a-ea7ae7d61fe3","Riccardo Zacconi",5.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1398416084/ybyngpkey3cg7bpfmoyl.jpg"
"768d9c8d-366f-c1a0-1c72-0e923162268f","Apax Partners",219.0,"https://res.cloudinary.com/crunchbase-production/image/upload/r1xitn5i732asghqnzra"
"485bb807-c172-8e1f-4376-96ec121b2adc","Brightspark Ventures",46.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178608/11d72546c6e74d17b0117b4db2f8a435.png"
"ed24f9ce-2313-cb8c-8ff2-9de6899ea992","Venrock",737.0,"https://res.cloudinary.com/crunchbase-production/image/upload/mihja7pdfejsiryaxbri"
"ef52b3c5-3517-3223-8252-7404146fb1fd","Andy Liu",12.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397180742/f00a63035dd4f0f0786b4b2aefa2d12f.jpg"
"5ffe727e-0b6f-aa7b-7831-39e8c56fbba4","Alloy Ventures",174.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178620/451aec83d9add0f604afec4bc98a0cd4.gif"
"3e3e8a2f-3700-f2c9-6568-4aaae02c07c6","Qualcomm",84.0,"https://res.cloudinary.com/crunchbase-production/image/upload/jcigxgvxe75mgtvelvun"
